name,icd_code,description,is_active
"Acute Supraventricular Tachycardia","I47.1.0","Paroxysmal SVT, advise vagal maneuvers and evaluate for beta-blockers with acute presentation.",true
"Mild Supraventricular Tachycardia","I47.1.1","Paroxysmal SVT, advise vagal maneuvers and evaluate for beta-blockers with mild severity scale.",true
"Severe Supraventricular Tachycardia","I47.1.3","Paroxysmal SVT, advise vagal maneuvers and evaluate for beta-blockers with severe clinical presentation.",true
"Recurrent Supraventricular Tachycardia","I47.1.4","Paroxysmal SVT, advise vagal maneuvers and evaluate for beta-blockers with frequent recurrent episodes.",true
"Chronic Sinus Bradycardia","R00.1.2","Resting heart rate under 60 bpm, check for symptoms on exertion with chronic clinical phase.",true
"Acute Sinus Bradycardia","R00.1.0","Resting heart rate under 60 bpm, check for symptoms on exertion with acute presentation.",true
"Mild Sinus Bradycardia","R00.1.1","Resting heart rate under 60 bpm, check for symptoms on exertion with mild severity scale.",true
"Severe Sinus Bradycardia","R00.1.3","Resting heart rate under 60 bpm, check for symptoms on exertion with severe clinical presentation.",true
"Recurrent Sinus Bradycardia","R00.1.4","Resting heart rate under 60 bpm, check for symptoms on exertion with frequent recurrent episodes.",true
"Chronic Mitral Valve Prolapse","I34.1.2","Floppy mitral valve leaflets, check echocardiogram for regurgitation with chronic clinical phase.",true
"Acute Mitral Valve Prolapse","I34.1.0","Floppy mitral valve leaflets, check echocardiogram for regurgitation with acute presentation.",true
"Mild Mitral Valve Prolapse","I34.1.1","Floppy mitral valve leaflets, check echocardiogram for regurgitation with mild severity scale.",true
"Severe Mitral Valve Prolapse","I34.1.3","Floppy mitral valve leaflets, check echocardiogram for regurgitation with severe clinical presentation.",true
"Recurrent Mitral Valve Prolapse","I34.1.4","Floppy mitral valve leaflets, check echocardiogram for regurgitation with frequent recurrent episodes.",true
"Chronic Aortic Stenosis","I35.0.2","Narrowed aortic valve orifice, monitor for angina, syncope, and dyspnea with chronic clinical phase.",true
"Acute Aortic Stenosis","I35.0.0","Narrowed aortic valve orifice, monitor for angina, syncope, and dyspnea with acute presentation.",true
"Mild Aortic Stenosis","I35.0.1","Narrowed aortic valve orifice, monitor for angina, syncope, and dyspnea with mild severity scale.",true
"Severe Aortic Stenosis","I35.0.3","Narrowed aortic valve orifice, monitor for angina, syncope, and dyspnea with severe clinical presentation.",true
"Recurrent Aortic Stenosis","I35.0.4","Narrowed aortic valve orifice, monitor for angina, syncope, and dyspnea with frequent recurrent episodes.",true
"Chronic Aortic Regurgitation","I35.1.2","Backward flow of blood into left ventricle, monitor ventricular size with chronic clinical phase.",true
"Acute Aortic Regurgitation","I35.1.0","Backward flow of blood into left ventricle, monitor ventricular size with acute presentation.",true
"Mild Aortic Regurgitation","I35.1.1","Backward flow of blood into left ventricle, monitor ventricular size with mild severity scale.",true
"Severe Aortic Regurgitation","I35.1.3","Backward flow of blood into left ventricle, monitor ventricular size with severe clinical presentation.",true
"Recurrent Aortic Regurgitation","I35.1.4","Backward flow of blood into left ventricle, monitor ventricular size with frequent recurrent episodes.",true
"Chronic Infective Endocarditis","I33.0.2","Bacterial infection of cardiac valves, require prolonged IV antibiotic therapy with chronic clinical phase.",true
"Acute Infective Endocarditis","I33.0.0","Bacterial infection of cardiac valves, require prolonged IV antibiotic therapy with acute presentation.",true
"Mild Infective Endocarditis","I33.0.1","Bacterial infection of cardiac valves, require prolonged IV antibiotic therapy with mild severity scale.",true
"Severe Infective Endocarditis","I33.0.3","Bacterial infection of cardiac valves, require prolonged IV antibiotic therapy with severe clinical presentation.",true
"Recurrent Infective Endocarditis","I33.0.4","Bacterial infection of cardiac valves, require prolonged IV antibiotic therapy with frequent recurrent episodes.",true
"Chronic Acute Pericarditis","I30.9.2","Inflammation of pericardial sac, typical pleuritic chest pain relieved by sitting forward with chronic clinical phase.",true
"Acute Acute Pericarditis","I30.9.0","Inflammation of pericardial sac, typical pleuritic chest pain relieved by sitting forward with acute presentation.",true
"Mild Acute Pericarditis","I30.9.1","Inflammation of pericardial sac, typical pleuritic chest pain relieved by sitting forward with mild severity scale.",true
"Severe Acute Pericarditis","I30.9.3","Inflammation of pericardial sac, typical pleuritic chest pain relieved by sitting forward with severe clinical presentation.",true
"Recurrent Acute Pericarditis","I30.9.4","Inflammation of pericardial sac, typical pleuritic chest pain relieved by sitting forward with frequent recurrent episodes.",true
"Chronic Dilated Cardiomyopathy","I42.0.2","Enlarged, weakened left ventricle, optimize heart failure regimen with chronic clinical phase.",true
"Acute Dilated Cardiomyopathy","I42.0.0","Enlarged, weakened left ventricle, optimize heart failure regimen with acute presentation.",true
"Mild Dilated Cardiomyopathy","I42.0.1","Enlarged, weakened left ventricle, optimize heart failure regimen with mild severity scale.",true
"Severe Dilated Cardiomyopathy","I42.0.3","Enlarged, weakened left ventricle, optimize heart failure regimen with severe clinical presentation.",true
"Recurrent Dilated Cardiomyopathy","I42.0.4","Enlarged, weakened left ventricle, optimize heart failure regimen with frequent recurrent episodes.",true
"Chronic Hypertrophic Cardiomyopathy","I42.1.2","Asymmetric septal hypertrophy, advise avoidance of extreme physical exertion with chronic clinical phase.",true
"Acute Hypertrophic Cardiomyopathy","I42.1.0","Asymmetric septal hypertrophy, advise avoidance of extreme physical exertion with acute presentation.",true
"Mild Hypertrophic Cardiomyopathy","I42.1.1","Asymmetric septal hypertrophy, advise avoidance of extreme physical exertion with mild severity scale.",true
"Severe Hypertrophic Cardiomyopathy","I42.1.3","Asymmetric septal hypertrophy, advise avoidance of extreme physical exertion with severe clinical presentation.",true
"Recurrent Hypertrophic Cardiomyopathy","I42.1.4","Asymmetric septal hypertrophy, advise avoidance of extreme physical exertion with frequent recurrent episodes.",true
"Chronic Deep Vein Thrombosis (DVT)","I82.40.2","Blood clot in lower extremity deep veins, prescribe oral anticoagulants with chronic clinical phase.",true
"Acute Deep Vein Thrombosis (DVT)","I82.40.0","Blood clot in lower extremity deep veins, prescribe oral anticoagulants with acute presentation.",true
"Mild Deep Vein Thrombosis (DVT)","I82.40.1","Blood clot in lower extremity deep veins, prescribe oral anticoagulants with mild severity scale.",true
"Severe Deep Vein Thrombosis (DVT)","I82.40.3","Blood clot in lower extremity deep veins, prescribe oral anticoagulants with severe clinical presentation.",true
"Recurrent Deep Vein Thrombosis (DVT)","I82.40.4","Blood clot in lower extremity deep veins, prescribe oral anticoagulants with frequent recurrent episodes.",true
"Chronic Peripheral Artery Disease","I73.9.2","Atherosclerotic narrowing of leg arteries, manage claudication symptoms with chronic clinical phase.",true
"Acute Peripheral Artery Disease","I73.9.0","Atherosclerotic narrowing of leg arteries, manage claudication symptoms with acute presentation.",true
"Mild Peripheral Artery Disease","I73.9.1","Atherosclerotic narrowing of leg arteries, manage claudication symptoms with mild severity scale.",true
"Severe Peripheral Artery Disease","I73.9.3","Atherosclerotic narrowing of leg arteries, manage claudication symptoms with severe clinical presentation.",true
"Recurrent Peripheral Artery Disease","I73.9.4","Atherosclerotic narrowing of leg arteries, manage claudication symptoms with frequent recurrent episodes.",true
"Chronic Varicose Veins of Lower Extremity","I83.9.2","Dilated, tortuous superficial veins, advise compression stockings and leg elevation with chronic clinical phase.",true
"Acute Varicose Veins of Lower Extremity","I83.9.0","Dilated, tortuous superficial veins, advise compression stockings and leg elevation with acute presentation.",true
"Mild Varicose Veins of Lower Extremity","I83.9.1","Dilated, tortuous superficial veins, advise compression stockings and leg elevation with mild severity scale.",true
"Severe Varicose Veins of Lower Extremity","I83.9.3","Dilated, tortuous superficial veins, advise compression stockings and leg elevation with severe clinical presentation.",true
"Recurrent Varicose Veins of Lower Extremity","I83.9.4","Dilated, tortuous superficial veins, advise compression stockings and leg elevation with frequent recurrent episodes.",true
"Chronic Postural Orthostatic Tachycardia Syndrome","G90.9.2","Autonomic intolerance, recommend increased fluid and sodium intake with chronic clinical phase.",true
"Acute Postural Orthostatic Tachycardia Syndrome","G90.9.0","Autonomic intolerance, recommend increased fluid and sodium intake with acute presentation.",true
"Mild Postural Orthostatic Tachycardia Syndrome","G90.9.1","Autonomic intolerance, recommend increased fluid and sodium intake with mild severity scale.",true
"Severe Postural Orthostatic Tachycardia Syndrome","G90.9.3","Autonomic intolerance, recommend increased fluid and sodium intake with severe clinical presentation.",true
"Recurrent Postural Orthostatic Tachycardia Syndrome","G90.9.4","Autonomic intolerance, recommend increased fluid and sodium intake with frequent recurrent episodes.",true
"Chronic Orthostatic Hypotension","I95.1.2","Fall in BP upon standing, check medication list and advise slow postural changes with chronic clinical phase.",true
"Acute Orthostatic Hypotension","I95.1.0","Fall in BP upon standing, check medication list and advise slow postural changes with acute presentation.",true
"Mild Orthostatic Hypotension","I95.1.1","Fall in BP upon standing, check medication list and advise slow postural changes with mild severity scale.",true
"Severe Orthostatic Hypotension","I95.1.3","Fall in BP upon standing, check medication list and advise slow postural changes with severe clinical presentation.",true
"Recurrent Orthostatic Hypotension","I95.1.4","Fall in BP upon standing, check medication list and advise slow postural changes with frequent recurrent episodes.",true
"Chronic Premature Ventricular Contractions (PVC)","I49.3.2","Ectopic ventricular beats, reassure patient if structurally normal heart with chronic clinical phase.",true
"Acute Premature Ventricular Contractions (PVC)","I49.3.0","Ectopic ventricular beats, reassure patient if structurally normal heart with acute presentation.",true
"Mild Premature Ventricular Contractions (PVC)","I49.3.1","Ectopic ventricular beats, reassure patient if structurally normal heart with mild severity scale.",true
"Severe Premature Ventricular Contractions (PVC)","I49.3.3","Ectopic ventricular beats, reassure patient if structurally normal heart with severe clinical presentation.",true
"Recurrent Premature Ventricular Contractions (PVC)","I49.3.4","Ectopic ventricular beats, reassure patient if structurally normal heart with frequent recurrent episodes.",true
"Unspecified Type 2 Diabetes Mellitus","E11.99","Non-insulin-dependent diabetes mellitus, advise low carbohydrate diet with unspecified metabolic status.",true
"Complicated Type 2 Diabetes Mellitus","E11.91","Non-insulin-dependent diabetes mellitus, advise low carbohydrate diet with complicated clinical status.",true
"Controlled Type 2 Diabetes Mellitus","E11.92","Non-insulin-dependent diabetes mellitus, advise low carbohydrate diet with adequately controlled phase.",true
"Refractory Type 2 Diabetes Mellitus","E11.93","Non-insulin-dependent diabetes mellitus, advise low carbohydrate diet with refractory to standard medical therapy.",true
"Early Stage Type 2 Diabetes Mellitus","E11.94","Non-insulin-dependent diabetes mellitus, advise low carbohydrate diet with early stage detection.",true
"Unspecified Type 1 Diabetes Mellitus","E10.99","Insulin-dependent diabetes mellitus, require basal-bolus insulin therapy with unspecified metabolic status.",true
"Complicated Type 1 Diabetes Mellitus","E10.91","Insulin-dependent diabetes mellitus, require basal-bolus insulin therapy with complicated clinical status.",true
"Controlled Type 1 Diabetes Mellitus","E10.92","Insulin-dependent diabetes mellitus, require basal-bolus insulin therapy with adequately controlled phase.",true
"Refractory Type 1 Diabetes Mellitus","E10.93","Insulin-dependent diabetes mellitus, require basal-bolus insulin therapy with refractory to standard medical therapy.",true
"Early Stage Type 1 Diabetes Mellitus","E10.94","Insulin-dependent diabetes mellitus, require basal-bolus insulin therapy with early stage detection.",true
"Unspecified Latent Autoimmune Diabetes of Adults","E13.99","Slowly progressive autoimmune diabetes, monitor beta-cell function with unspecified metabolic status.",true
"Complicated Latent Autoimmune Diabetes of Adults","E13.91","Slowly progressive autoimmune diabetes, monitor beta-cell function with complicated clinical status.",true
"Controlled Latent Autoimmune Diabetes of Adults","E13.92","Slowly progressive autoimmune diabetes, monitor beta-cell function with adequately controlled phase.",true
"Refractory Latent Autoimmune Diabetes of Adults","E13.93","Slowly progressive autoimmune diabetes, monitor beta-cell function with refractory to standard medical therapy.",true
"Early Stage Latent Autoimmune Diabetes of Adults","E13.94","Slowly progressive autoimmune diabetes, monitor beta-cell function with early stage detection.",true
"Unspecified Gestational Diabetes Mellitus","O24.49","Pregnancy-induced glucose intolerance, check postprandial glucose levels with unspecified metabolic status.",true
"Complicated Gestational Diabetes Mellitus","O24.41","Pregnancy-induced glucose intolerance, check postprandial glucose levels with complicated clinical status.",true
"Controlled Gestational Diabetes Mellitus","O24.42","Pregnancy-induced glucose intolerance, check postprandial glucose levels with adequately controlled phase.",true
"Refractory Gestational Diabetes Mellitus","O24.43","Pregnancy-induced glucose intolerance, check postprandial glucose levels with refractory to standard medical therapy.",true
"Early Stage Gestational Diabetes Mellitus","O24.44","Pregnancy-induced glucose intolerance, check postprandial glucose levels with early stage detection.",true
"Unspecified Hypothyroidism","E03.99","Underactive thyroid gland, check TSH and prescribe levothyroxine with unspecified metabolic status.",true
"Complicated Hypothyroidism","E03.91","Underactive thyroid gland, check TSH and prescribe levothyroxine with complicated clinical status.",true
"Controlled Hypothyroidism","E03.92","Underactive thyroid gland, check TSH and prescribe levothyroxine with adequately controlled phase.",true
"Refractory Hypothyroidism","E03.93","Underactive thyroid gland, check TSH and prescribe levothyroxine with refractory to standard medical therapy.",true
"Early Stage Hypothyroidism","E03.94","Underactive thyroid gland, check TSH and prescribe levothyroxine with early stage detection.",true
"Unspecified Primary Hyperthyroidism","E05.99","Overactive thyroid gland, evaluate for methimazole or beta-blockers with unspecified metabolic status.",true
"Complicated Primary Hyperthyroidism","E05.91","Overactive thyroid gland, evaluate for methimazole or beta-blockers with complicated clinical status.",true
"Controlled Primary Hyperthyroidism","E05.92","Overactive thyroid gland, evaluate for methimazole or beta-blockers with adequately controlled phase.",true
"Refractory Primary Hyperthyroidism","E05.93","Overactive thyroid gland, evaluate for methimazole or beta-blockers with refractory to standard medical therapy.",true
"Early Stage Primary Hyperthyroidism","E05.94","Overactive thyroid gland, evaluate for methimazole or beta-blockers with early stage detection.",true
"Unspecified Hashimoto's Thyroiditis","E06.39","Autoimmune thyroid destruction, monitor for eventual hypothyroid state with unspecified metabolic status.",true
"Complicated Hashimoto's Thyroiditis","E06.31","Autoimmune thyroid destruction, monitor for eventual hypothyroid state with complicated clinical status.",true
"Controlled Hashimoto's Thyroiditis","E06.32","Autoimmune thyroid destruction, monitor for eventual hypothyroid state with adequately controlled phase.",true
"Refractory Hashimoto's Thyroiditis","E06.33","Autoimmune thyroid destruction, monitor for eventual hypothyroid state with refractory to standard medical therapy.",true
"Early Stage Hashimoto's Thyroiditis","E06.34","Autoimmune thyroid destruction, monitor for eventual hypothyroid state with early stage detection.",true
"Unspecified Graves' Disease","E05.09","Autoimmune hyperthyroidism, monitor for exophthalmos and cardiotoxicity with unspecified metabolic status.",true
"Complicated Graves' Disease","E05.01","Autoimmune hyperthyroidism, monitor for exophthalmos and cardiotoxicity with complicated clinical status.",true
"Controlled Graves' Disease","E05.02","Autoimmune hyperthyroidism, monitor for exophthalmos and cardiotoxicity with adequately controlled phase.",true
"Refractory Graves' Disease","E05.03","Autoimmune hyperthyroidism, monitor for exophthalmos and cardiotoxicity with refractory to standard medical therapy.",true
"Early Stage Graves' Disease","E05.04","Autoimmune hyperthyroidism, monitor for exophthalmos and cardiotoxicity with early stage detection.",true
"Unspecified Subacute Thyroiditis","E06.19","Inflammatory thyroid pain, treat with NSAIDs or steroids for symptom control with unspecified metabolic status.",true
"Complicated Subacute Thyroiditis","E06.11","Inflammatory thyroid pain, treat with NSAIDs or steroids for symptom control with complicated clinical status.",true
"Controlled Subacute Thyroiditis","E06.12","Inflammatory thyroid pain, treat with NSAIDs or steroids for symptom control with adequately controlled phase.",true
"Refractory Subacute Thyroiditis","E06.13","Inflammatory thyroid pain, treat with NSAIDs or steroids for symptom control with refractory to standard medical therapy.",true
"Early Stage Subacute Thyroiditis","E06.14","Inflammatory thyroid pain, treat with NSAIDs or steroids for symptom control with early stage detection.",true
"Unspecified Hyperlipidemia","E78.59","Elevated lipids, advise low cholesterol diet and regular cardiovascular exercise with unspecified metabolic status.",true
"Complicated Hyperlipidemia","E78.51","Elevated lipids, advise low cholesterol diet and regular cardiovascular exercise with complicated clinical status.",true
"Controlled Hyperlipidemia","E78.52","Elevated lipids, advise low cholesterol diet and regular cardiovascular exercise with adequately controlled phase.",true
"Refractory Hyperlipidemia","E78.53","Elevated lipids, advise low cholesterol diet and regular cardiovascular exercise with refractory to standard medical therapy.",true
"Early Stage Hyperlipidemia","E78.54","Elevated lipids, advise low cholesterol diet and regular cardiovascular exercise with early stage detection.",true
"Unspecified Pure Hypercholesterolemia","E78.09","Isolated elevated serum cholesterol, monitor LDL levels with unspecified metabolic status.",true
"Complicated Pure Hypercholesterolemia","E78.01","Isolated elevated serum cholesterol, monitor LDL levels with complicated clinical status.",true
"Controlled Pure Hypercholesterolemia","E78.02","Isolated elevated serum cholesterol, monitor LDL levels with adequately controlled phase.",true
"Refractory Pure Hypercholesterolemia","E78.03","Isolated elevated serum cholesterol, monitor LDL levels with refractory to standard medical therapy.",true
"Early Stage Pure Hypercholesterolemia","E78.04","Isolated elevated serum cholesterol, monitor LDL levels with early stage detection.",true
"Unspecified Pure Hypertriglyceridemia","E78.19","Isolated elevated serum triglycerides, advise on alcohol restriction with unspecified metabolic status.",true
"Complicated Pure Hypertriglyceridemia","E78.11","Isolated elevated serum triglycerides, advise on alcohol restriction with complicated clinical status.",true
"Controlled Pure Hypertriglyceridemia","E78.12","Isolated elevated serum triglycerides, advise on alcohol restriction with adequately controlled phase.",true
"Refractory Pure Hypertriglyceridemia","E78.13","Isolated elevated serum triglycerides, advise on alcohol restriction with refractory to standard medical therapy.",true
"Early Stage Pure Hypertriglyceridemia","E78.14","Isolated elevated serum triglycerides, advise on alcohol restriction with early stage detection.",true
"Unspecified Vitamin D Deficiency","E55.99","Low vitamin D levels, advise cholecalciferol supplementation with unspecified metabolic status.",true
"Complicated Vitamin D Deficiency","E55.91","Low vitamin D levels, advise cholecalciferol supplementation with complicated clinical status.",true
"Controlled Vitamin D Deficiency","E55.92","Low vitamin D levels, advise cholecalciferol supplementation with adequately controlled phase.",true
"Refractory Vitamin D Deficiency","E55.93","Low vitamin D levels, advise cholecalciferol supplementation with refractory to standard medical therapy.",true
"Early Stage Vitamin D Deficiency","E55.94","Low vitamin D levels, advise cholecalciferol supplementation with early stage detection.",true
"Unspecified Vitamin B12 Deficiency","E53.89","Low cyanocobalamin levels, check for macrocytic anemia and paresthesias with unspecified metabolic status.",true
"Complicated Vitamin B12 Deficiency","E53.81","Low cyanocobalamin levels, check for macrocytic anemia and paresthesias with complicated clinical status.",true
"Controlled Vitamin B12 Deficiency","E53.82","Low cyanocobalamin levels, check for macrocytic anemia and paresthesias with adequately controlled phase.",true
"Refractory Vitamin B12 Deficiency","E53.83","Low cyanocobalamin levels, check for macrocytic anemia and paresthesias with refractory to standard medical therapy.",true
"Early Stage Vitamin B12 Deficiency","E53.84","Low cyanocobalamin levels, check for macrocytic anemia and paresthesias with early stage detection.",true
"Unspecified Folate Deficiency Anemia","D52.99","Macrocytic anemia due to folic acid deficiency, prescribe daily folate with unspecified metabolic status.",true
"Complicated Folate Deficiency Anemia","D52.91","Macrocytic anemia due to folic acid deficiency, prescribe daily folate with complicated clinical status.",true
"Controlled Folate Deficiency Anemia","D52.92","Macrocytic anemia due to folic acid deficiency, prescribe daily folate with adequately controlled phase.",true
"Refractory Folate Deficiency Anemia","D52.93","Macrocytic anemia due to folic acid deficiency, prescribe daily folate with refractory to standard medical therapy.",true
"Early Stage Folate Deficiency Anemia","D52.94","Macrocytic anemia due to folic acid deficiency, prescribe daily folate with early stage detection.",true
"Unspecified Primary Gout","M10.99","Uric acid crystal deposition, monitor uric acid and prescribe allopurinol with unspecified metabolic status.",true
"Complicated Primary Gout","M10.91","Uric acid crystal deposition, monitor uric acid and prescribe allopurinol with complicated clinical status.",true
"Controlled Primary Gout","M10.92","Uric acid crystal deposition, monitor uric acid and prescribe allopurinol with adequately controlled phase.",true
"Refractory Primary Gout","M10.93","Uric acid crystal deposition, monitor uric acid and prescribe allopurinol with refractory to standard medical therapy.",true
"Early Stage Primary Gout","M10.94","Uric acid crystal deposition, monitor uric acid and prescribe allopurinol with early stage detection.",true
"Unspecified Primary Osteoporosis","M81.09","Decreased bone mineral density, discuss bisphosphonate therapy and calcium with unspecified metabolic status.",true
"Complicated Primary Osteoporosis","M81.01","Decreased bone mineral density, discuss bisphosphonate therapy and calcium with complicated clinical status.",true
"Controlled Primary Osteoporosis","M81.02","Decreased bone mineral density, discuss bisphosphonate therapy and calcium with adequately controlled phase.",true
"Refractory Primary Osteoporosis","M81.03","Decreased bone mineral density, discuss bisphosphonate therapy and calcium with refractory to standard medical therapy.",true
"Early Stage Primary Osteoporosis","M81.04","Decreased bone mineral density, discuss bisphosphonate therapy and calcium with early stage detection.",true
"Unspecified Adrenal Insufficiency","E27.49","Impaired cortisol production, instruct on steroid stress dosing with unspecified metabolic status.",true
"Complicated Adrenal Insufficiency","E27.41","Impaired cortisol production, instruct on steroid stress dosing with complicated clinical status.",true
"Controlled Adrenal Insufficiency","E27.42","Impaired cortisol production, instruct on steroid stress dosing with adequately controlled phase.",true
"Refractory Adrenal Insufficiency","E27.43","Impaired cortisol production, instruct on steroid stress dosing with refractory to standard medical therapy.",true
"Early Stage Adrenal Insufficiency","E27.44","Impaired cortisol production, instruct on steroid stress dosing with early stage detection.",true
"Unspecified Addison's Disease","E27.19","Primary autoimmune adrenal failure, require mineralo- and glucocorticoids with unspecified metabolic status.",true
"Complicated Addison's Disease","E27.11","Primary autoimmune adrenal failure, require mineralo- and glucocorticoids with complicated clinical status.",true
"Controlled Addison's Disease","E27.12","Primary autoimmune adrenal failure, require mineralo- and glucocorticoids with adequately controlled phase.",true
"Refractory Addison's Disease","E27.13","Primary autoimmune adrenal failure, require mineralo- and glucocorticoids with refractory to standard medical therapy.",true
"Early Stage Addison's Disease","E27.14","Primary autoimmune adrenal failure, require mineralo- and glucocorticoids with early stage detection.",true
